id,sis_id,section,section_id,section_sis_id,submitted,attempt,475978: Can a private method be called by any other method in the same class?,1,475979: What is the key word to jump out of a method?,1,"475980: If there is a statement after a ""return"" will the statement execute?",1,475981: What does the void do in a method definition?,1,475982: Assume you type the following code into the Interactions pane and then actually choose a picture from your computer:System.out.println(new Picture(FileChooser.pickAFile()));How do you tell DrJava to show the picture that you selected?,1,"475983: The following code uses variable substitution:Picture pictureObj = new Picture(FileChooser.pickAFile());pictureObj.show();and is functionally the same as:String filename = FileChooser.pickAFile();Picture pictureObj = new Picture(filename);pictureObj.show();However, the second example is different in that it creates a variable name for the filename. What good is this?",1,n correct,n incorrect,score
32372,753073,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 12:27:16 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,5,1,5
43422,813404,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 11:31:13 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
43422,813404,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 11:29:52 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,FileChooser.show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
60805,842602,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 09:10:57 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
52992,828046,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 08:33:01 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method returns something,0,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,5,1,5
52992,828046,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 08:31:26 UTC,1,TRUE,1,return,1,FALSE,1,"It does nothing, it's just a placeholder",0,show();,0,"It allows us to refer to the filename later, if we need it.",1,4,2,4
16595,651800,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 08:10:04 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
16595,651800,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 08:08:44 UTC,1,TRUE,1,return,1,TRUE,0,"It does nothing, it's just a placeholder",0,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,4,2,4
55154,828946,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 06:18:30 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
50684,132783,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 06:17:57 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
50684,132783,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 06:15:12 UTC,1,FALSE,0,return,1,TRUE,0,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,3,3,3
59381,841016,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 06:10:07 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
59381,841016,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 06:02:03 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
52458,835902,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 06:01:38 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
47363,801764,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 05:49:01 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
47363,801764,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 05:24:09 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method doesn't return anything,1,Picture.show();,0,"Nothing, it's just more lines of code.",0,3,3,3
47631,813471,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 04:43:20 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
47631,813471,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 04:41:55 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method doesn't return anything,1,show();,0,"It allows us to refer to the filename later, if we need it.",1,4,2,4
48962,819113,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 04:41:19 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
48962,819113,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 04:40:08 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,5,1,5
37680,795043,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 04:35:32 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
41134,800103,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 04:32:57 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
37680,795043,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 04:31:21 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method doesn't return anything,1,show();,0,"It allows us to refer to the filename later, if we need it.",1,4,2,4
46060,815607,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 04:29:01 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,5,1,5
41880,804425,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 04:19:59 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,FileChooser.show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
41880,804425,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 04:17:05 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
47324,813988,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 04:15:25 UTC,2,TRUE,1,return,1,TRUE,0,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,5,1,5
47324,813988,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 04:10:48 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
60196,767164,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 03:28:37 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
60196,767164,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 03:25:28 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,4,2,4
56134,791799,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 03:16:17 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
56134,791799,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 03:14:55 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
40423,800448,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 02:56:22 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
40423,800448,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 02:55:04 UTC,1,FALSE,0,return,1,TRUE,0,It specifies that the method doesn't return anything,1,show();,0,"It allows us to refer to the filename later, if we need it.",1,3,3,3
9420,522716,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 02:46:07 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
44519,816190,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 02:38:52 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
37840,757733,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 02:37:15 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
37840,757733,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 02:36:24 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
44519,816190,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 02:34:07 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
43250,818386,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 01:59:58 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
43250,818386,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 01:57:54 UTC,1,FALSE,0,return,1,TRUE,0,It specifies that the method doesn't return anything,1,show();,0,"It allows us to refer to the filename later, if we need it.",1,3,3,3
47378,814295,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 01:28:25 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
47378,814295,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 01:26:23 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method returns something,0,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,4,2,4
46915,801338,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 01:24:05 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
46915,801338,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 01:19:17 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method doesn't return anything,1,FileChooser.show();,0,"It allows us to refer to the filename later, if we need it.",1,4,2,4
45264,745996,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 01:03:52 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
43438,815722,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 01:03:19 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
51293,815851,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 01:02:45 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
45264,745996,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 01:01:54 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
51293,815851,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 00:58:57 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method doesn't return anything,1,show();,0,"It allows us to refer to the filename later, if we need it.",1,4,2,4
4263,233205,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 00:58:25 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
43438,815722,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 00:56:01 UTC,1,FALSE,0,return,1,TRUE,0,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,4,2,4
46648,817402,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 00:52:16 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
55631,831773,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 00:36:54 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
55631,831773,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 00:35:19 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,5,1,5
53332,816498,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 00:35:03 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
53332,816498,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 00:34:07 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method returns something,0,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,4,2,4
22966,716611,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 00:34:07 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
22966,716611,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 00:32:03 UTC,1,FALSE,0,jump,0,TRUE,0,"It does nothing, it's just a placeholder",0,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,2,4,2
59055,841901,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 00:23:45 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
59055,841901,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-03 00:19:00 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
11151,573164,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 00:17:10 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,FileChooser.show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
11151,573164,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 00:16:05 UTC,1,TRUE,1,return,1,TRUE,0,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,4,2,4
46384,800824,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 00:14:48 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,FileChooser.show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
46384,800824,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-03 00:11:48 UTC,1,FALSE,0,return,1,TRUE,0,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,3,3,3
29765,754485,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-02 23:45:37 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
29765,754485,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-02 23:41:36 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,5,1,5
40319,801937,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-02 23:37:32 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
31440,763109,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-02 23:37:19 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
40319,801937,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-02 23:35:24 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,It runs faster when a String is created.,0,5,1,5
31440,763109,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-02 23:32:52 UTC,1,TRUE,1,return,1,TRUE,0,It specifies that the method returns something,0,show();,0,"It allows us to refer to the filename later, if we need it.",1,3,3,3
49198,795078,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-02 23:22:57 UTC,2,FALSE,0,return,1,TRUE,0,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,4,2,4
49198,795078,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-10-02 23:21:32 UTC,1,TRUE,1,return,1,TRUE,0,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,It runs faster when a String is created.,0,4,2,4
3750,813670,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-02 23:16:33 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
3750,813670,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-02 23:15:41 UTC,1,FALSE,0,return,1,TRUE,0,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,3,3,3
47244,813518,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-02 22:34:58 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
47244,813518,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-02 22:32:04 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,4,2,4
48072,800466,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-02 22:27:12 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
48072,800466,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-02 22:25:30 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method returns something,0,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,5,1,5
42481,811759,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-02 21:53:20 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
42481,811759,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-02 21:50:09 UTC,1,FALSE,0,return,1,FALSE,1,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,4,2,4
48841,826518,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-02 21:39:24 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,Picture.show();,0,"It allows us to refer to the filename later, if we need it.",1,5,1,5
54954,832310,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-02 20:47:54 UTC,1,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
59476,840813,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-02 20:47:28 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
59476,840813,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-02 20:45:56 UTC,1,FALSE,0,return,1,TRUE,0,It specifies that the method doesn't return anything,1,FileChooser.show();,0,"It allows us to refer to the filename later, if we need it.",1,3,3,3
54994,815749,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-10-02 20:15:35 UTC,2,TRUE,1,return,1,FALSE,1,It specifies that the method doesn't return anything,1,You can't because you haven't given the picture object a name.,1,"It allows us to refer to the filename later, if we need it.",1,6,0,6
